insert into ordenes values('CA-2016-152156', '42682', '42685', 'Second Class', 'CG-12520', '42420', 'South'),
('CA-2016-121755', '42385', '42389', 'Second Class', 'EH-13945', '90049', 'West'),
('CA-2016-121755', '42385', '42389', 'Second Class', 'EH-13945', '90049', 'West'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('US-2015-150630', '42264', '42268', 'Standard Class', 'TB-21520', '19140', 'East'),
('CA-2017-107727', '43027', '43031', 'Second Class', 'MA-17560', '77095', 'Central'),
('CA-2016-117590', '42712', '42714', 'First Class', 'GH-14485', '75080', 'Central'),
('CA-2016-117590', '42712', '42714', 'First Class', 'GH-14485', '75080', 'Central'),
('CA-2015-117415', '42365', '42369', 'Standard Class', 'SN-20710', '77041', 'Central'),
('CA-2015-117415', '42365', '42369', 'Standard Class', 'SN-20710', '77041', 'Central'),
('CA-2015-117415', '42365', '42369', 'Standard Class', 'SN-20710', '77041', 'Central'),
('CA-2015-117415', '42365', '42369', 'Standard Class', 'SN-20710', '77041', 'Central'),
('CA-2017-120999', '42988', '42993', 'Standard Class', 'LC-16930', '60540', 'Central'),
('CA-2016-101343', '42568', '42573', 'Standard Class', 'RA-19885', '90049', 'West'),
('CA-2017-139619', '42997', '43001', 'Standard Class', 'ES-14080', '32935', 'South'),
('CA-2016-118255', '42440', '42442', 'First Class', 'ON-18715', '55122', 'Central'),
('CA-2016-118255', '42440', '42442', 'First Class', 'ON-18715', '55122', 'Central'),
('CA-2014-146703', '41932', '41937', 'Second Class', 'PO-18865', '48185', 'Central'),
('CA-2016-169194', '42541', '42546', 'Standard Class', 'LH-16900', '19901', 'East'),
('CA-2016-169194', '42541', '42546', 'Standard Class', 'LH-16900', '19901', 'East'),
('CA-2015-115742', '42112', '42116', 'Standard Class', 'DP-13000', '47150', 'Central'),
('CA-2015-115742', '42112', '42116', 'Standard Class', 'DP-13000', '47150', 'Central'),
('CA-2015-115742', '42112', '42116', 'Standard Class', 'DP-13000', '47150', 'Central'),
('CA-2015-115742', '42112', '42116', 'Standard Class', 'DP-13000', '47150', 'Central'),
('CA-2016-105816', '42715', '42721', 'Standard Class', 'JM-15265', '10024', 'East'),
('CA-2016-105816', '42715', '42721', 'Standard Class', 'JM-15265', '10024', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2016-111682', '42538', '42539', 'First Class', 'TB-21055', '12180', 'East'),
('CA-2015-135545', '42332', '42338', 'Standard Class', 'KM-16720', '90004', 'West'),
('CA-2015-135545', '42332', '42338', 'Standard Class', 'KM-16720', '90004', 'West'),
('CA-2015-135545', '42332', '42338', 'Standard Class', 'KM-16720', '90004', 'West'),
('CA-2015-135545', '42332', '42338', 'Standard Class', 'KM-16720', '90004', 'West'),
('US-2015-164175', '42124', '42129', 'Standard Class', 'PS-18970', '60610', 'Central'),
('CA-2014-106376', '41978', '41983', 'Standard Class', 'BS-11590', '85234', 'West'),
('CA-2014-106376', '41978', '41983', 'Standard Class', 'BS-11590', '85234', 'West'),
('CA-2016-119823', '42525', '42527', 'First Class', 'KD-16270', '22153', 'South'),
('CA-2016-106075', '42631', '42636', 'Standard Class', 'HM-14980', '10009', 'East'),
('CA-2017-114440', '42992', '42995', 'Second Class', 'TB-21520', '49201', 'Central'),
('US-2015-134026', '42120', '42126', 'Standard Class', 'JE-15745', '38109', 'South'),
('US-2015-134026', '42120', '42126', 'Standard Class', 'JE-15745', '38109', 'South'),
('US-2015-134026', '42120', '42126', 'Standard Class', 'JE-15745', '38109', 'South'),
('US-2017-118038', '43078', '43080', 'First Class', 'KB-16600', '77041', 'Central'),
('US-2017-118038', '43078', '43080', 'First Class', 'KB-16600', '77041', 'Central'),
('US-2017-118038', '43078', '43080', 'First Class', 'KB-16600', '77041', 'Central'),
('US-2014-147606', '41969', '41974', 'Second Class', 'JE-15745', '77070', 'Central'),
('CA-2016-127208', '42533', '42536', 'First Class', 'SC-20770', '35601', 'South'),
('CA-2016-127208', '42533', '42536', 'First Class', 'SC-20770', '35601', 'South'),
('CA-2014-139451', '41924', '41928', 'Standard Class', 'DN-13690', '94122', 'West'),
('CA-2014-139451', '41924', '41928', 'Standard Class', 'DN-13690', '94122', 'West'),
('CA-2015-149734', '42250', '42255', 'Standard Class', 'JC-16105', '27707', 'South'),
('US-2017-119662', '43052', '43055', 'First Class', 'CS-12400', '60623', 'Central'),
('CA-2017-140088', '42883', '42885', 'Second Class', 'PO-18865', '29203', 'South'),
('CA-2017-155558', '43034', '43041', 'Standard Class', 'PG-18895', '55901', 'Central'),
('CA-2017-155558', '43034', '43041', 'Standard Class', 'PG-18895', '55901', 'Central'),
('CA-2016-159695', '42465', '42470', 'Second Class', 'GM-14455', '77095', 'Central'),
('CA-2016-109806', '42630', '42635', 'Standard Class', 'JS-15685', '90036', 'West'),
('CA-2016-109806', '42630', '42635', 'Standard Class', 'JS-15685', '90036', 'West'),
('CA-2016-109806', '42630', '42635', 'Standard Class', 'JS-15685', '90036', 'West'),
('CA-2015-149587', '42035', '42040', 'Second Class', 'KB-16315', '55407', 'Central'),
('CA-2015-149587', '42035', '42040', 'Second Class', 'KB-16315', '55407', 'Central'),
('CA-2015-149587', '42035', '42040', 'Second Class', 'KB-16315', '55407', 'Central'),
('US-2017-109484', '43045', '43051', 'Standard Class', 'RB-19705', '97206', 'West'),
('CA-2017-161018', '43048', '43050', 'Second Class', 'PN-18775', '10009', 'East'),
('CA-2017-157833', '42903', '42906', 'First Class', 'KD-16345', '94122', 'West'),
('CA-2016-149223', '42619', '42624', 'Standard Class', 'ER-13855', '55106', 'Central'),
('CA-2016-158568', '42611', '42615', 'Standard Class', 'RB-19465', '60610', 'Central'),
('CA-2016-158568', '42611', '42615', 'Standard Class', 'RB-19465', '60610', 'Central'),
('CA-2016-158568', '42611', '42615', 'Standard Class', 'RB-19465', '60610', 'Central'),
('CA-2016-129903', '42705', '42708', 'Second Class', 'GZ-14470', '55901', 'Central'),
('US-2015-156867', '42321', '42325', 'Standard Class', 'LC-16870', '80013', 'West'),
('US-2015-156867', '42321', '42325', 'Standard Class', 'LC-16870', '80013', 'West'),
('US-2015-156867', '42321', '42325', 'Standard Class', 'LC-16870', '80013', 'West'),
('CA-2017-119004', '43062', '43067', 'Standard Class', 'JM-15250', '28205', 'South'),
('CA-2017-119004', '43062', '43067', 'Standard Class', 'JM-15250', '28205', 'South'),
('CA-2017-119004', '43062', '43067', 'Standard Class', 'JM-15250', '28205', 'South'),
('CA-2015-129476', '42292', '42297', 'Standard Class', 'PA-19060', '60462', 'Central'),
('CA-2017-146780', '43094', '43099', 'Standard Class', 'CV-12805', '10035', 'East'),
('CA-2016-128867', '42677', '42684', 'Standard Class', 'CL-12565', '50322', 'Central'),
('CA-2016-128867', '42677', '42684', 'Standard Class', 'CL-12565', '50322', 'Central'),
('CA-2014-115259', '41876', '41878', 'Second Class', 'RC-19960', '43229', 'East'),
('CA-2014-115259', '41876', '41878', 'Second Class', 'RC-19960', '43229', 'East'),
('CA-2014-115259', '41876', '41878', 'Second Class', 'RC-19960', '43229', 'East'),
('CA-2014-115259', '41876', '41878', 'Second Class', 'RC-19960', '43229', 'East'),
('CA-2015-110457', '42065', '42069', 'Standard Class', 'DK-13090', '98103', 'West'),
('US-2015-136476', '42099', '42104', 'Standard Class', 'GG-14650', '37620', 'South'),
('CA-2016-103730', '42533', '42536', 'First Class', 'SC-20725', '19805', 'East'),
('CA-2016-103730', '42533', '42536', 'First Class', 'SC-20725', '19805', 'East'),
('CA-2016-103730', '42533', '42536', 'First Class', 'SC-20725', '19805', 'East'),
('CA-2016-103730', '42533', '42536', 'First Class', 'SC-20725', '19805', 'East'),
('CA-2016-103730', '42533', '42536', 'First Class', 'SC-20725', '19805', 'East'),
('US-2014-152030', '41999', '42001', 'Second Class', 'AD-10180', '77041', 'Central'),
('US-2014-134614', '41902', '41907', 'Standard Class', 'PF-19165', '61701', 'Central'),
('US-2017-107272', '43044', '43051', 'Standard Class', 'TS-21610', '85023', 'West'),
('US-2017-107272', '43044', '43051', 'Standard Class', 'TS-21610', '85023', 'West'),
('US-2016-125969', '42680', '42684', 'Second Class', 'LS-16975', '90004', 'West'),
('US-2016-125969', '42680', '42684', 'Second Class', 'LS-16975', '90004', 'West'),
('US-2017-164147', '42768', '42771', 'First Class', 'DW-13585', '43229', 'East'),
('US-2017-164147', '42768', '42771', 'First Class', 'DW-13585', '43229', 'East'),
('US-2017-164147', '42768', '42771', 'First Class', 'DW-13585', '43229', 'East'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-145583', '42656', '42662', 'Standard Class', 'LC-16885', '95661', 'West'),
('CA-2016-110366', '42618', '42620', 'Second Class', 'JD-15895', '19140', 'East'),
('CA-2017-106180', '42996', '43001', 'Standard Class', 'SH-19975', '94122', 'West'),
('CA-2017-106180', '42996', '43001', 'Standard Class', 'SH-19975', '94122', 'West'),
('CA-2017-106180', '42996', '43001', 'Standard Class', 'SH-19975', '94122', 'West'),
('CA-2017-155376', '43091', '43096', 'Standard Class', 'SG-20080', '64055', 'Central'),
('CA-2015-110744', '42254', '42259', 'Standard Class', 'HA-14920', '91104', 'West'),
('CA-2014-110072', '41934', '41940', 'Standard Class', 'MG-17680', '43055', 'East'),
('CA-2016-114489', '42709', '42713', 'Standard Class', 'JE-16165', '53132', 'Central'),
('CA-2016-114489', '42709', '42713', 'Standard Class', 'JE-16165', '53132', 'Central'),
('CA-2016-114489', '42709', '42713', 'Standard Class', 'JE-16165', '53132', 'Central'),
('CA-2016-114489', '42709', '42713', 'Standard Class', 'JE-16165', '53132', 'Central'),
('CA-2016-158834', '42442', '42445', 'First Class', 'TW-21025', '85254', 'West'),
('CA-2016-158834', '42442', '42445', 'First Class', 'TW-21025', '85254', 'West'),
('CA-2015-124919', '42155', '42157', 'First Class', 'SP-20650', '95123', 'West'),
('CA-2015-124919', '42155', '42157', 'First Class', 'SP-20650', '95123', 'West'),
('CA-2015-124919', '42155', '42157', 'First Class', 'SP-20650', '95123', 'West'),
('CA-2015-118948', '42152', '42158', 'Standard Class', 'NK-18490', '98105', 'West'),
('CA-2014-104269', '41699', '41704', 'Second Class', 'DB-13060', '98115', 'West'),
('CA-2016-114104', '42694', '42698', 'Standard Class', 'NP-18670', '73034', 'Central'),
('CA-2016-114104', '42694', '42698', 'Standard Class', 'NP-18670', '73034', 'Central'),
('CA-2016-162733', '42501', '42502', 'First Class', 'TT-21070', '90045', 'West'),
('CA-2015-119697', '42366', '42369', 'Second Class', 'EM-13960', '19134', 'East'),
('CA-2016-154508', '42690', '42694', 'Standard Class', 'RD-19900', '88220', 'West'),
('CA-2016-113817', '42681', '42685', 'Standard Class', 'MJ-17740', '98115', 'West'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-139892', '41890', '41894', 'Standard Class', 'BM-11140', '78207', 'Central'),
('CA-2014-118962', '41856', '41860', 'Standard Class', 'CS-12130', '90004', 'West'),
('CA-2014-118962', '41856', '41860', 'Standard Class', 'CS-12130', '90004', 'West'),
('CA-2014-118962', '41856', '41860', 'Standard Class', 'CS-12130', '90004', 'West'),
('US-2014-100853', '41896', '41901', 'Standard Class', 'JB-15400', '60623', 'Central'),
('US-2014-100853', '41896', '41901', 'Standard Class', 'JB-15400', '60623', 'Central'),
('US-2017-152366', '42846', '42850', 'Second Class', 'SJ-20500', '77036', 'Central'),
('US-2015-101511', '42329', '42331', 'Second Class', 'JE-15745', '43055', 'East'),
('US-2015-101511', '42329', '42331', 'Second Class', 'JE-15745', '43055', 'East'),
('CA-2015-137225', '42353', '42357', 'Standard Class', 'JK-15640', '10009', 'East'),
('CA-2014-166191', '41978', '41982', 'Second Class', 'DK-13150', '62521', 'Central'),
('CA-2014-166191', '41978', '41982', 'Second Class', 'DK-13150', '62521', 'Central'),
('CA-2014-158274', '41962', '41967', 'Second Class', 'RM-19675', '71203', 'South'),
('CA-2014-158274', '41962', '41967', 'Second Class', 'RM-19675', '71203', 'South'),
('CA-2014-158274', '41962', '41967', 'Second Class', 'RM-19675', '71203', 'South'),
('CA-2016-105018', '42702', '42706', 'Standard Class', 'SK-19990', '6824', 'East'),
('CA-2014-123260', '41877', '41881', 'Standard Class', 'FM-14290', '90032', 'West'),
('CA-2016-157000', '42567', '42573', 'Standard Class', 'AM-10360', '75051', 'Central'),
('CA-2016-157000', '42567', '42573', 'Standard Class', 'AM-10360', '75051', 'Central'),
('CA-2015-102281', '42289', '42291', 'First Class', 'MP-17470', '10035', 'East'),
('CA-2015-102281', '42289', '42291', 'First Class', 'MP-17470', '10035', 'East'),
('CA-2015-102281', '42289', '42291', 'First Class', 'MP-17470', '10035', 'East'),
('CA-2015-102281', '42289', '42291', 'First Class', 'MP-17470', '10035', 'East'),
('CA-2015-102281', '42289', '42291', 'First Class', 'MP-17470', '10035', 'East'),
('CA-2015-131457', '42308', '42314', 'Standard Class', 'MZ-17515', '92374', 'West'),
('CA-2014-140004', '41719', '41723', 'Standard Class', 'CB-12025', '45011', 'East'),
('CA-2014-140004', '41719', '41723', 'Standard Class', 'CB-12025', '45011', 'East'),
('CA-2017-107720', '43045', '43052', 'Standard Class', 'VM-21685', '7090', 'East'),
('US-2017-124303', '42922', '42929', 'Standard Class', 'FH-14365', '19120', 'East'),
('US-2017-124303', '42922', '42929', 'Standard Class', 'FH-14365', '19120', 'East'),
('CA-2017-105074', '42910', '42915', 'Standard Class', 'MB-17305', '44312', 'East'),
('CA-2014-133690', '41854', '41856', 'First Class', 'BS-11755', '80219', 'West'),
('CA-2014-133690', '41854', '41856', 'First Class', 'BS-11755', '80219', 'West'),
('US-2017-116701', '43086', '43090', 'Second Class', 'LC-17140', '75220', 'Central'),
('CA-2017-126382', '42889', '42893', 'Standard Class', 'HK-14890', '37064', 'South'),
('CA-2017-108329', '43078', '43083', 'Standard Class', 'LE-16810', '90604', 'West'),
('CA-2017-135860', '43070', '43076', 'Standard Class', 'JH-15985', '48601', 'Central'),
('CA-2017-135860', '43070', '43076', 'Standard Class', 'JH-15985', '48601', 'Central'),
('CA-2017-135860', '43070', '43076', 'Standard Class', 'JH-15985', '48601', 'Central'),
('CA-2017-135860', '43070', '43076', 'Standard Class', 'JH-15985', '48601', 'Central'),
('CA-2017-135860', '43070', '43076', 'Standard Class', 'JH-15985', '48601', 'Central'),
('CA-2015-101007', '42044', '42048', 'Second Class', 'MS-17980', '75220', 'Central'),
('CA-2015-146262', '42006', '42013', 'Standard Class', 'VW-21775', '44256', 'East'),
('CA-2015-146262', '42006', '42013', 'Standard Class', 'VW-21775', '44256', 'East'),
('CA-2015-146262', '42006', '42013', 'Standard Class', 'VW-21775', '44256', 'East'),
('CA-2015-146262', '42006', '42013', 'Standard Class', 'VW-21775', '44256', 'East'),
('CA-2015-146262', '42006', '42013', 'Standard Class', 'VW-21775', '44256', 'East'),
('CA-2016-130162', '42671', '42675', 'Standard Class', 'JH-15910', '90032', 'West'),
('CA-2016-130162', '42671', '42675', 'Standard Class', 'JH-15910', '90032', 'West'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-169397', '42362', '42365', 'First Class', 'JB-15925', '43017', 'East'),
('CA-2015-163055', '42225', '42232', 'Standard Class', 'DS-13180', '48227', 'Central'),
('CA-2015-163055', '42225', '42232', 'Standard Class', 'DS-13180', '48227', 'Central'),
('CA-2015-163055', '42225', '42232', 'Standard Class', 'DS-13180', '48227', 'Central'),
('US-2015-145436', '42063', '42067', 'Standard Class', 'VD-21670', '38401', 'South'),
('US-2015-145436', '42063', '42067', 'Standard Class', 'VD-21670', '38401', 'South'),
('US-2014-156216', '41895', '41899', 'Standard Class', 'EA-14035', '28205', 'South'),
('US-2017-100930', '42832', '42837', 'Standard Class', 'CS-12400', '33614', 'South'),
('US-2017-100930', '42832', '42837', 'Standard Class', 'CS-12400', '33614', 'South'),
('US-2017-100930', '42832', '42837', 'Standard Class', 'CS-12400', '33614', 'South'),
('US-2017-100930', '42832', '42837', 'Standard Class', 'CS-12400', '33614', 'South'),
('US-2017-100930', '42832', '42837', 'Standard Class', 'CS-12400', '33614', 'South'),
('CA-2017-160514', '43051', '43055', 'Standard Class', 'DB-13120', '95051', 'West'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2016-157749', '42525', '42530', 'Second Class', 'KL-16645', '60610', 'Central'),
('CA-2014-131926', '41791', '41796', 'Second Class', 'DW-13480', '55044', 'Central'),
('CA-2014-131926', '41791', '41796', 'Second Class', 'DW-13480', '55044', 'Central'),
('CA-2014-131926', '41791', '41796', 'Second Class', 'DW-13480', '55044', 'Central'),
('CA-2014-131926', '41791', '41796', 'Second Class', 'DW-13480', '55044', 'Central'),
('CA-2014-131926', '41791', '41796', 'Second Class', 'DW-13480', '55044', 'Central'),
('CA-2016-154739', '42714', '42719', 'Second Class', 'LH-17155', '94109', 'West'),
('CA-2016-145625', '42624', '42630', 'Standard Class', 'KC-16540', '92037', 'West'),
('CA-2016-145625', '42624', '42630', 'Standard Class', 'KC-16540', '92037', 'West'),
('CA-2016-146941', '42714', '42717', 'First Class', 'DL-13315', '10024', 'East'),
('CA-2016-146941', '42714', '42717', 'First Class', 'DL-13315', '10024', 'East'),
('US-2015-159982', '42336', '42342', 'Standard Class', 'DR-12880', '60623', 'Central'),
('US-2015-159982', '42336', '42342', 'Standard Class', 'DR-12880', '60623', 'Central'),
('US-2015-159982', '42336', '42342', 'Standard Class', 'DR-12880', '60623', 'Central'),
('US-2015-159982', '42336', '42342', 'Standard Class', 'DR-12880', '60623', 'Central'),
('CA-2017-163139', '43070', '43072', 'Second Class', 'CC-12670', '10009', 'East'),
('CA-2017-163139', '43070', '43072', 'Second Class', 'CC-12670', '10009', 'East'),
('CA-2017-163139', '43070', '43072', 'Second Class', 'CC-12670', '10009', 'East'),
('US-2017-155299', '42894', '42898', 'Standard Class', 'Dl-13600', '77506', 'Central'),
('US-2014-106992', '41901', '41903', 'Second Class', 'SB-20290', '77036', 'Central'),
('US-2014-106992', '41901', '41903', 'Second Class', 'SB-20290', '77036', 'Central'),
('CA-2016-125318', '42527', '42534', 'Standard Class', 'RC-19825', '60610', 'Central'),
('CA-2015-155040', '42318', '42323', 'Standard Class', 'AH-10210', '94513', 'West'),
('CA-2017-136826', '42902', '42906', 'Standard Class', 'CB-12535', '27514', 'South'),
('CA-2016-111010', '42391', '42397', 'Standard Class', 'PG-18895', '7960', 'East'),
('US-2017-145366', '43078', '43082', 'Standard Class', 'CA-12310', '45231', 'East'),
('US-2017-145366', '43078', '43082', 'Standard Class', 'CA-12310', '45231', 'East'),
('CA-2017-163979', '43097', '43102', 'Second Class', 'KH-16690', '94110', 'West'),
('CA-2015-155334', '42215', '42216', 'First Class', 'HA-14920', '94109', 'West'),
('CA-2015-155334', '42215', '42216', 'First Class', 'HA-14920', '94109', 'West'),
('CA-2015-155334', '42215', '42216', 'First Class', 'HA-14920', '94109', 'West'),
('CA-2017-118136', '42994', '42995', 'First Class', 'BB-10990', '90301', 'West'),
('CA-2017-118136', '42994', '42995', 'First Class', 'BB-10990', '90301', 'West'),
('CA-2017-132976', '43021', '43025', 'Standard Class', 'AG-10495', '19140', 'East'),
('CA-2017-132976', '43021', '43025', 'Standard Class', 'AG-10495', '19140', 'East'),
('CA-2017-132976', '43021', '43025', 'Standard Class', 'AG-10495', '19140', 'East'),
('CA-2017-132976', '43021', '43025', 'Standard Class', 'AG-10495', '19140', 'East'),
('US-2015-161991', '42273', '42275', 'Second Class', 'SC-20725', '77070', 'Central'),
('US-2015-161991', '42273', '42275', 'Second Class', 'SC-20725', '77070', 'Central'),
('CA-2015-130890', '42310', '42314', 'Standard Class', 'JO-15280', '90004', 'West'),
('CA-2015-130883', '42273', '42279', 'Standard Class', 'TB-21520', '97206', 'West'),
('CA-2015-130883', '42273', '42279', 'Standard Class', 'TB-21520', '97206', 'West'),
('CA-2015-130883', '42273', '42279', 'Standard Class', 'TB-21520', '97206', 'West'),
('CA-2016-112697', '42722', '42724', 'Second Class', 'AH-10195', '33319', 'South'),
('CA-2016-112697', '42722', '42724', 'Second Class', 'AH-10195', '33319', 'South'),
('CA-2016-112697', '42722', '42724', 'Second Class', 'AH-10195', '33319', 'South'),
('CA-2016-110772', '42694', '42698', 'Second Class', 'NZ-18565', '43229', 'East'),
('CA-2016-110772', '42694', '42698', 'Second Class', 'NZ-18565', '43229', 'East'),
('CA-2016-110772', '42694', '42698', 'Second Class', 'NZ-18565', '43229', 'East'),
('CA-2016-110772', '42694', '42698', 'Second Class', 'NZ-18565', '43229', 'East'),
('CA-2014-111451', '41999', '42001', 'First Class', 'KL-16555', '80906', 'West'),
('CA-2014-111451', '41999', '42001', 'First Class', 'KL-16555', '80906', 'West'),
('CA-2014-111451', '41999', '42001', 'First Class', 'KL-16555', '80906', 'West'),
('CA-2014-111451', '41999', '42001', 'First Class', 'KL-16555', '80906', 'West'),
('CA-2014-111451', '41999', '42001', 'First Class', 'KL-16555', '80906', 'West'),
('CA-2016-142545', '42671', '42677', 'Standard Class', 'JD-15895', '7109', 'East'),
('CA-2016-142545', '42671', '42677', 'Standard Class', 'JD-15895', '7109', 'East'),
('CA-2016-142545', '42671', '42677', 'Standard Class', 'JD-15895', '7109', 'East'),
('CA-2016-142545', '42671', '42677', 'Standard Class', 'JD-15895', '7109', 'East'),
('CA-2016-142545', '42671', '42677', 'Standard Class', 'JD-15895', '7109', 'East'),
('US-2017-152380', '43058', '43062', 'Standard Class', 'JH-15910', '60623', 'Central'),
('CA-2015-144253', '42128', '42133', 'Second Class', 'AS-10225', '10024', 'East'),
('CA-2014-130960', '42003', '42008', 'Standard Class', 'KB-16600', '48180', 'Central'),
('CA-2014-111003', '41791', '41796', 'Standard Class', 'CR-12625', '8701', 'East'),
('CA-2014-111003', '41791', '41796', 'Standard Class', 'CR-12625', '8701', 'East'),
('CA-2017-126774', '42840', '42842', 'First Class', 'SH-20395', '22204', 'South'),
('CA-2016-142902', '42625', '42627', 'Second Class', 'BP-11185', '80004', 'West'),
('CA-2016-142902', '42625', '42627', 'Second Class', 'BP-11185', '80004', 'West'),
('CA-2016-142902', '42625', '42627', 'Second Class', 'BP-11185', '80004', 'West'),
('CA-2016-142902', '42625', '42627', 'Second Class', 'BP-11185', '80004', 'West'),
('CA-2014-120887', '41909', '41915', 'Standard Class', 'TS-21205', '7601', 'East'),
('CA-2014-167850', '41860', '41867', 'Standard Class', 'AG-10525', '33710', 'South'),
('CA-2014-167850', '41860', '41867', 'Standard Class', 'AG-10525', '33710', 'South'),
('CA-2014-164259', '42001', '42003', 'First Class', 'SP-20860', '19143', 'East'),
('CA-2014-164973', '41947', '41952', 'Standard Class', 'NM-18445', '10024', 'East'),
('CA-2014-164973', '41947', '41952', 'Standard Class', 'NM-18445', '10024', 'East'),
('CA-2014-164973', '41947', '41952', 'Standard Class', 'NM-18445', '10024', 'East'),
